City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Altay,CN,2021-04-16 20:33:17,47.8667,88.1167,44.53,35,2,8.08
256,Verkhoyansk,RU,2021-04-16 20:43:05,67.5447,133.385,13.26,88,100,5.66
257,Saint-Georges,GD,2021-04-16 20:43:06,12.0564,-61.7485,84.2,70,20,20.71
258,Rocha,UY,2021-04-16 20:41:27,-34.4833,-54.3333,67.14,92,39,5.75
259,Ola,RU,2021-04-16 20:43:06,59.5833,151.2833,18.54,91,100,1.63
260,Mabaruma,GY,2021-04-16 20:43:06,8.2,-59.7833,81.95,65,3,7.85
261,Bathsheba,BB,2021-04-16 20:43:07,13.2167,-59.5167,82.4,57,40,17.27
262,Boguchany,RU,2021-04-16 20:43:07,58.3814,97.4531,23.61,84,100,9.06
263,Constitucion,CL,2021-04-16 20:43:07,-35.3333,-72.4167,62.74,67,99,10.04
264,Ruwi,OM,2021-04-16 20:43:08,23.5996,58.5507,82.4,42,0,2.3
265,Seminole,US,2021-04-16 20:33:15,28.7086,-81.2081,84.0,54,90,3.44
266,Clyde River,CA,2021-04-16 20:43:08,70.4692,-68.5914,12.2,85,40,34.52
267,Lasa,IT,2021-04-16 20:43:09,46.6166,10.7002,48.2,55,0,3.44
268,Dong Xoai,VN,2021-04-16 20:43:09,11.5333,106.9167,75.36,93,100,3.76
269,Coari,BR,2021-04-16 20:43:09,-4.085,-63.1414,79.54,88,97,2.44
270,Maragogi,BR,2021-04-16 20:43:10,-9.0122,-35.2225,77.27,84,73,6.6
271,Camacha,PT,2021-04-16 20:43:10,33.0833,-16.3333,62.6,67,75,12.66
272,Abaza,RU,2021-04-16 20:43:10,52.655,90.0928,42.66,84,45,5.75
273,Castro-Urdiales,ES,2021-04-16 20:43:11,43.3829,-3.2204,48.99,65,20,2.3
274,North Battleford,CA,2021-04-16 20:42:04,52.7834,-108.2847,59.0,23,1,9.22
275,Rorvik,NO,2021-04-16 20:43:11,64.8621,11.2373,41.0,70,0,4.61
276,Nhulunbuy,AU,2021-04-16 20:43:12,-12.2333,136.7667,77.0,83,7,5.75
277,Taltal,CL,2021-04-16 20:43:12,-25.4,-70.4833,64.69,76,24,2.82
278,Adamantina,BR,2021-04-16 20:43:12,-21.6853,-51.0725,69.8,94,0,6.91
279,Lebu,CL,2021-04-16 20:43:12,-37.6167,-73.65,57.81,73,100,11.65
280,Amherst,US,2021-04-16 20:40:07,41.3978,-82.2224,48.0,71,90,10.36
281,San Quintin,MX,2021-04-16 20:43:13,30.4833,-115.95,63.63,67,54,21.0
282,Erenhot,CN,2021-04-16 20:43:13,43.6475,111.9767,32.74,35,0,6.04
283,San Francisco,US,2021-04-16 20:42:11,37.7749,-122.4194,62.01,58,20,20.71
284,Cap Malheureux,MU,2021-04-16 20:33:16,-19.9842,57.6142,80.01,82,20,4.0
285,Portland,US,2021-04-16 20:41:14,45.5234,-122.6762,78.01,19,1,17.27
286,Cidreira,BR,2021-04-16 20:43:14,-30.1811,-50.2056,71.69,79,99,6.62
287,Esperance,AU,2021-04-16 20:43:15,-33.8667,121.9,53.6,82,93,8.05
288,Salinas,US,2021-04-16 20:42:50,36.6777,-121.6555,64.4,52,1,11.5
289,Conceicao Da Barra,BR,2021-04-16 20:43:15,-18.5933,-39.7322,74.26,76,5,7.81
290,Yerbogachen,RU,2021-04-16 20:43:16,61.2767,108.0108,12.6,86,10,11.16
291,Chokurdakh,RU,2021-04-16 20:43:16,70.6333,147.9167,-5.98,99,98,7.58
292,Shahreza,IR,2021-04-16 20:43:16,32.0339,51.8794,60.55,19,0,2.95
